epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1494.97,0.40511,1.13012,0.90049,0.7087,0.73433,0.77071,0.69357,0.36434,0.69061,0.86778,0.00023792,0.00023792,0.00023792
2,2969.74,0.41223,0.81843,0.90625,0.73219,0.77999,0.81451,0.74888,0.31777,0.59146,0.85375,0.000428804,0.000428804,0.000428804
3,4435.72,0.37923,0.71555,0.89328,0.81761,0.84284,0.876,0.81876,0.28297,0.44943,0.8391,0.000572564,0.000572564,0.000572564
4,5897.26,0.34819,0.60919,0.87795,0.8398,0.84445,0.89694,0.8449,0.26275,0.38799,0.83066,0.000501942,0.000501942,0.000501942
5,7356.67,0.31861,0.52235,0.86261,0.87692,0.87798,0.91733,0.86862,0.24617,0.33703,0.82252,0.000431256,0.000431256,0.000431256
6,8814.48,0.30018,0.46211,0.85298,0.88619,0.88421,0.9318,0.88547,0.23434,0.30385,0.82478,0.00036057,0.00036057,0.00036057
7,10272.9,0.28354,0.40209,0.84658,0.9085,0.89924,0.93829,0.89527,0.22644,0.26902,0.82036,0.000289884,0.000289884,0.000289884
8,11728.3,0.26778,0.3544,0.83992,0.91483,0.91585,0.94875,0.90713,0.21837,0.24604,0.81792,0.000219198,0.000219198,0.000219198
9,13183.1,0.25341,0.30925,0.83052,0.92244,0.91673,0.95095,0.91133,0.21335,0.23193,0.813,0.000148512,0.000148512,0.000148512
10,14635.1,0.23989,0.26702,0.82515,0.91924,0.9285,0.95328,0.916,0.2099,0.22264,0.81049,7.7826e-05,7.7826e-05,7.7826e-05
