epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.792,0.431,1.62993,0.89824,0.72419,0.75795,0.80036,0.72914,0.34026,0.75003,0.83813,0.00023792,0.00023792,0.00023792
2,940.657,0.41278,0.8177,0.8796,0.77523,0.78326,0.83647,0.76971,0.3204,0.5514,0.83208,0.000428804,0.000428804,0.000428804
3,1391.53,0.39968,0.71608,0.87544,0.82394,0.81224,0.86263,0.80091,0.29987,0.46586,0.82466,0.000572564,0.000572564,0.000572564
4,1842.74,0.37572,0.62862,0.86559,0.85471,0.83526,0.89461,0.83494,0.27759,0.40714,0.81685,0.000501942,0.000501942,0.000501942
5,2293.17,0.34805,0.55661,0.85217,0.86417,0.85283,0.9108,0.85754,0.263,0.36336,0.81275,0.000431256,0.000431256,0.000431256
6,2743,0.33077,0.49895,0.84602,0.87369,0.88267,0.92312,0.87122,0.25472,0.32771,0.80923,0.00036057,0.00036057,0.00036057
7,3196.07,0.31317,0.4503,0.83804,0.89958,0.88712,0.93362,0.88349,0.24406,0.29911,0.80583,0.000289884,0.000289884,0.000289884
8,3646.5,0.2987,0.40512,0.83324,0.90358,0.89697,0.94101,0.89386,0.23811,0.28086,0.80235,0.000219198,0.000219198,0.000219198
9,4096.3,0.28536,0.36702,0.82678,0.90309,0.91097,0.94588,0.90061,0.23274,0.26971,0.80079,0.000148512,0.000148512,0.000148512
10,4550.03,0.27239,0.33016,0.82192,0.9158,0.90453,0.94744,0.90279,0.22856,0.26068,0.79889,7.7826e-05,7.7826e-05,7.7826e-05
