epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,771.619,0.40391,1.25877,0.88042,0.74397,0.75446,0.80996,0.74183,0.33696,0.6307,0.83787,0.00023792,0.00023792,0.00023792
2,1517.73,0.40687,0.75306,0.87806,0.76855,0.80289,0.84593,0.78275,0.30988,0.51977,0.8302,0.000428804,0.000428804,0.000428804
3,2255.53,0.38353,0.6767,0.86801,0.84133,0.82555,0.87763,0.8192,0.28765,0.44056,0.81714,0.000572564,0.000572564,0.000572564
4,2990.85,0.35577,0.59088,0.85625,0.84937,0.86513,0.9023,0.84794,0.26816,0.37892,0.81242,0.000501942,0.000501942,0.000501942
5,3728.09,0.33044,0.51879,0.84454,0.88493,0.8755,0.926,0.87421,0.25671,0.33244,0.81043,0.000431256,0.000431256,0.000431256
6,4464.58,0.31086,0.46066,0.83619,0.89921,0.8829,0.93309,0.88463,0.24282,0.30352,0.80475,0.00036057,0.00036057,0.00036057
7,5197.95,0.29395,0.4094,0.82966,0.89923,0.90038,0.93743,0.89321,0.2332,0.27924,0.80156,0.000289884,0.000289884,0.000289884
8,5936.51,0.2794,0.36322,0.82433,0.91677,0.90552,0.94973,0.90734,0.22605,0.25832,0.79903,0.000219198,0.000219198,0.000219198
9,6674.81,0.26465,0.32259,0.81797,0.92052,0.9061,0.95149,0.91148,0.2193,0.24429,0.79608,0.000148512,0.000148512,0.000148512
10,7415.26,0.25221,0.28347,0.81346,0.93487,0.90478,0.95467,0.9162,0.21562,0.23603,0.79502,7.7826e-05,7.7826e-05,7.7826e-05
